novel_label,novel_rationale,first_seen,best_topic_id,best_topic_name,similarity,action,notes,llm_label
Positive service feedback,The review expresses satisfaction with the service but does not fit existing categories.,2025-10-04T16:13:01.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.8405234813690186,merge,auto-merge via embedding score,
Generic positive feedback,The review expresses a positive sentiment but does not specify any particular aspect of the service.,2025-09-28T05:16:42.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.8278882503509521,merge,auto-merge via embedding score,
Best service feedback,The review expresses a positive sentiment about service quality but does not match existing topics.,2025-10-20T04:11:57.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.7531115412712097,merge,Both topics express positive sentiment without specifying particular issues or experiences.,General Positive Feedback
Delivery Speed Concern,"The review expresses dissatisfaction with the speed of delivery, indicating a need for faster service.",2025-10-15T09:30:44.000000+0530,FAST_DELIVERY,Fast Delivery,0.7306948900222778,merge,"Consolidated feedback related to service quality, both positive and negative.",Service Feedback
Positive feedback about service,"The review expresses a positive sentiment towards a person named Harinder Singh Negi, indicating satisfaction with the service.",2025-10-04T16:00:59.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.7249157428741455,merge,"Both topics address aspects of food quality, with Topic A focusing on expectations and Topic B highlighting poor quality.",Food Quality
Order not received,The review indicates waiting for an order without confirmation of delivery.,2025-10-18T16:13:18.000000+0530,NO_DELIVERY_YET,No Delivery Yet,0.7127670049667358,merge,"Both topics express a positive sentiment regarding food quality, making them duplicates.",Positive Feedback on Food Quality
Low Price Concern,The review mentions low price but does not specify any issues related to the service or food quality.,2025-09-30T16:34:57.000000+0530,POOR_QUALITY,Poor Quality,0.7082163095474243,new,"This topic highlights excellent offers, which is not covered in the existing topics.",Positive Offers Feedback
Generic Positive Feedback,The review expresses a positive sentiment without specific details.,2025-09-28T07:02:46.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6985096335411072,merge,Both topics express a general sentiment about the app without addressing specific issues.,App inquiry
Slow Delivery,"The review indicates a delay without specifying a reason, suggesting a potential issue with delivery speed.",2025-10-22T14:19:24.000000+0530,FAST_DELIVERY,Fast Delivery,0.6936002373695374,merge,Both topics express positive sentiment and can be consolidated under a single label.,Positive Feedback and Experience
App feedback,The review provides generic feedback about the app without specific issues.,2025-10-21T20:13:31.000000+0530,GREAT_APP,Great App,0.6905034780502319,new,"The review expresses frustration about the app's functionality and user experience, which is not covered in the existing topics.",App usability concern
Food quality issue,"The review indicates that the food ordered was bad, which is not explicitly covered in the existing topics.",2025-10-18T11:26:33.000000+0530,POOR_QUALITY,Poor Quality,0.685580849647522,merge,"Both topics express a desire for quicker delivery, with Topic A emphasizing urgency.",Fast Delivery
Delivery speed complaint,"The review mentions 'not fast', indicating a concern about delivery speed, which is not explicitly covered in the catalog.",2025-10-11T06:21:03.000000+0530,FAST_DELIVERY,Fast Delivery,0.6792985200881958,merge,Topics A and B both express a positive sentiment about the restaurant experience.,Positive Feedback
General Positive Feedback,The review expresses a positive sentiment but does not specify any particular issue or experience.,2025-10-05T10:24:25.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.676308274269104,merge,"Both topics focus on the speed of delivery, with Topic A specifically mentioning pizza delivery.",Delivery Speed
Poor Service Feedback,The review indicates dissatisfaction with service quality without specifying a covered issue.,2025-10-13T12:18:53.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6738330125808716,merge,Consolidating related topics about delivery problems into a single category.,Delivery Issues
Food quality expectation,The review expresses a general expectation for good food quality without specific issues.,2025-10-06T16:50:57.000000+0530,POOR_QUALITY,Poor Quality,0.6699190139770508,merge,Consolidating general service quality issues and positive experiences into a single topic for comprehensive coverage.,Service Experience
Positive feedback on food,The review expresses a positive sentiment about food quality without specific details.,2025-10-13T09:33:33.000000+0530,GOOD_QUALITY_FOOD,Good Quality Food,0.6656339764595032,merge,"Both topics address problems related to refunds, including the process and customer experience.",Refund Issues
Positive offers feedback,"The review mentions excellent offers, which is not covered in the existing topics.",2025-09-29T17:56:12.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6638004779815674,new,"Consolidating topics related to delivery problems, including lack of personnel and delays.",Delivery Issues
App inquiry,The review asks about the app without specific issues.,2025-10-11T17:51:31.000000+0530,GREAT_APP,Great App,0.6624577641487122,merge,Both topics express dissatisfaction with food quality.,General complaint about food
Positive feedback,The review expresses positive sentiment without specific issues.,2025-10-01T20:53:48.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6612516045570374,merge,Consolidated duplicate topics related to delivery status.,General delivery statement
App usability concern,"The review expresses frustration about the app's functionality and user experience, which is not covered in the existing topics.",2025-10-10T06:31:29.000000+0530,GREAT_APP,Great App,0.6588744521141052,merge,"The review mentions 'nice coupons', which aligns with the positive sentiment of Topic B.",Positive Feedback on Coupons
Request for faster delivery,The review expresses urgency for quicker delivery without specifying a related issue from the catalog.,2025-09-28T15:19:51.000000+0530,FAST_DELIVERY,Fast Delivery,0.6569632291793823,merge,Informative feedback contributes to a positive experience but lacks specificity.,Positive Experience
General positive feedback,The review expresses a positive sentiment about the restaurant without specifying any issues.,2025-10-24T07:07:57.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.65445876121521,merge,"Both topics address issues related to fees, with Topic A focusing on transparency and Topic B highlighting the high cost.",Fees
Negative sentiment towards service,The review expresses a negative opinion without specifying a particular issue.,2025-10-06T15:34:38.000000+0530,POSITIVE_EXPERIENCE,Positive Experience,0.6534475088119507,merge,Consolidated topics related to customer opinions on service experiences.,Customer Sentiment
